SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
0,1.0818238468109702,2,0,1,0,0,0,1,1,1,0,1,56,90
0,-0.4761021998638143,2,0,0,0,1,1,0,1,1,0,1,13,5
0,-2.0340282465385986,2,0,0,0,1,0,1,1,0,1,1,64,14
0,-0.4761021998638143,2,1,0,1,1,0,1,0,1,0,1,47,73
1,1.0818238468109702,1,0,1,0,0,1,0,0,0,0,1,16,86
0,1.0818238468109702,2,1,0,1,1,0,1,1,0,0,1,21,21
1,-0.4761021998638143,2,0,1,1,1,0,1,0,0,0,1,61,74
1,-0.4761021998638143,1,1,1,1,0,0,0,0,0,1,0,54,18
1,-0.4761021998638143,2,1,1,0,0,0,1,1,0,1,0,13,5
1,-0.4761021998638143,2,0,0,0,1,1,1,0,1,1,1,17,53
1,1.0818238468109702,2,1,0,0,0,1,1,1,0,1,1,56,90
0,-0.4761021998638143,2,1,1,1,0,0,1,1,1,0,1,47,73
0,1.0818238468109702,1,1,1,0,1,1,0,0,0,0,0,39,81
1,-0.4761021998638143,1,0,1,0,0,0,1,0,0,0,1,62,17
0,1.0818238468109702,0,0,0,0,0,0,0,1,0,0,0,43,16
0,-0.4761021998638143,2,1,0,0,1,1,1,1,1,1,0,13,5
1,1.0818238468109702,2,0,1,0,1,1,0,1,0,1,1,36,32
0,-0.4761021998638143,0,0,0,0,0,1,0,0,0,0,1,25,34
1,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,62,17
1,-0.4761021998638143,2,1,0,0,1,1,0,0,0,1,1,20,46
1,-0.4761021998638143,2,0,0,0,1,1,1,1,1,0,1,47,73
0,-0.4761021998638143,3,1,1,0,1,1,1,1,1,1,0,64,14
0,-0.4761021998638143,1,0,1,1,1,0,0,0,0,0,0,22,35
1,1.0818238468109702,0,1,0,0,0,0,0,0,0,1,0,65,68
0,-0.4761021998638143,0,1,1,0,0,0,0,0,0,0,0,0,57
1,1.0818238468109702,2,0,0,1,0,1,1,1,1,1,0,61,74
1,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,61,74
1,-2.0340282465385986,2,0,1,1,1,0,1,1,1,0,1,64,14
0,1.0818238468109702,2,1,0,1,0,0,1,0,1,1,0,61,74
0,-0.4761021998638143,1,0,1,1,0,1,0,1,0,0,0,37,25
1,-2.0340282465385986,2,1,1,1,0,0,0,1,1,1,1,26,8
0,-0.4761021998638143,2,1,0,0,0,1,1,1,1,0,0,13,5
0,1.0818238468109702,2,0,1,1,1,1,1,0,0,1,1,60,36
1,-2.0340282465385986,2,0,0,1,1,0,1,1,1,0,0,64,14
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,47,73
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,47,73
1,1.0818238468109702,2,0,0,1,1,1,1,0,0,1,0,60,36
0,-2.0340282465385986,0,0,0,0,0,0,0,0,0,0,0,64,14
1,1.0818238468109702,2,1,1,0,0,0,1,1,0,1,0,56,90
1,1.0818238468109702,2,1,0,0,0,1,0,1,1,0,1,9,31
0,1.0818238468109702,2,0,0,1,0,1,1,1,1,1,1,61,74
1,1.0818238468109702,1,0,0,1,0,0,0,0,1,1,0,46,54
1,1.0818238468109702,2,0,1,0,1,1,1,1,1,1,0,56,90
1,-2.0340282465385986,0,0,0,0,0,0,0,1,0,0,0,43,16
1,-0.4761021998638143,1,0,1,0,0,0,0,0,1,0,1,30,50
1,-0.4761021998638143,1,1,0,0,1,0,1,0,0,0,1,62,17
0,-0.4761021998638143,2,0,1,1,1,0,1,0,0,0,1,47,73
0,-0.4761021998638143,2,1,1,1,0,0,1,0,0,1,1,62,17
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,47,73
1,-0.4761021998638143,1,0,0,1,0,1,0,1,0,0,0,27,29
1,1.0818238468109702,3,1,1,0,1,1,1,0,1,1,1,62,17
1,-2.0340282465385986,2,1,0,1,1,0,0,0,1,1,1,15,11
1,1.0818238468109702,1,0,1,0,0,0,1,0,1,1,0,62,17
0,-0.4761021998638143,2,1,0,0,0,1,0,1,1,0,1,16,86
1,1.0818238468109702,0,0,0,0,0,0,1,1,0,0,0,56,90
1,1.0818238468109702,0,0,0,0,0,0,0,1,0,0,0,41,77
1,-0.4761021998638143,2,1,0,1,1,1,1,1,0,0,1,62,17
1,-0.4761021998638143,2,1,1,1,1,1,0,0,0,0,1,18,70
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,62,17
0,-0.4761021998638143,3,1,1,1,1,1,0,1,0,1,1,16,86
0,1.0818238468109702,2,0,1,1,0,0,1,1,0,1,0,61,74
0,1.0818238468109702,1,0,1,0,1,0,0,0,1,0,0,22,35
1,-0.4761021998638143,2,0,1,1,0,0,1,1,1,1,1,47,73
0,-0.4761021998638143,1,0,1,0,1,1,0,1,0,0,0,37,25
0,-0.4761021998638143,2,1,1,0,0,1,0,0,0,1,1,16,86
1,-2.0340282465385986,2,1,1,0,0,1,1,0,1,0,1,62,17
0,1.0818238468109702,2,0,1,0,0,1,1,1,0,0,1,50,28
1,-0.4761021998638143,0,1,1,0,0,0,0,0,0,0,0,0,57
0,-0.4761021998638143,1,1,0,0,0,0,1,0,1,1,0,51,44
0,-2.0340282465385986,1,0,0,1,0,0,1,0,1,1,0,61,74
1,-0.4761021998638143,1,0,1,0,0,1,0,0,1,0,0,37,25
0,1.0818238468109702,0,0,1,0,0,0,0,0,0,0,0,66,27
0,-0.4761021998638143,3,1,1,0,1,1,1,0,1,1,1,47,73
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,61,74
1,1.0818238468109702,3,1,1,1,0,1,1,1,1,1,1,61,74
0,-0.4761021998638143,2,1,1,0,1,0,0,0,1,0,1,18,70
1,-2.0340282465385986,3,1,1,1,1,1,1,1,1,1,1,62,17
0,1.0818238468109702,2,0,0,1,0,0,1,1,1,1,0,57,60
0,1.0818238468109702,2,0,1,1,0,0,0,1,1,1,0,45,30
1,1.0818238468109702,2,0,1,0,1,0,1,1,1,1,0,62,17
1,-0.4761021998638143,1,0,0,1,1,0,1,0,1,0,0,60,36
1,1.0818238468109702,2,0,1,0,0,1,1,0,1,1,1,62,17
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,0,36,32
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
1,1.0818238468109702,2,1,1,0,1,0,1,1,0,1,1,62,17
0,-0.4761021998638143,2,1,1,1,1,1,1,1,0,0,0,64,14
1,1.0818238468109702,1,0,1,1,0,1,0,1,0,0,0,27,29
0,-0.4761021998638143,1,0,0,0,1,0,1,1,1,0,0,50,28
0,1.0818238468109702,0,0,0,0,0,0,0,1,0,0,1,33,88
0,-0.4761021998638143,2,1,0,1,1,1,0,0,1,1,0,15,11
0,1.0818238468109702,0,1,0,0,0,0,1,0,0,0,0,51,44
1,-2.0340282465385986,0,0,1,0,0,0,1,0,0,0,0,60,36
1,1.0818238468109702,2,0,1,1,1,0,0,1,0,1,0,55,4
1,-0.4761021998638143,3,1,1,1,0,1,1,1,1,1,0,13,5
